scenario,group,seed,pop,trait,n_gwas,rg,frac_shared_causal,n_pop,n_trait,rho_pheno,h2,method,phi_mode,phi,corr,time_s
h2_0.1,h2_sweep,11,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5906926173810534,74.0
h2_0.1,h2_sweep,11,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.47908162970172685,49.7
h2_0.1,h2_sweep,11,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8539314283334829,72.0
h2_0.1,h2_sweep,11,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7679053231310283,50.0
h2_0.1,h2_sweep,11,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.5921355323509851,72.0
h2_0.1,h2_sweep,11,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.35867067118642737,50.0
h2_0.1,h2_sweep,11,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8733308970645498,72.0
h2_0.1,h2_sweep,11,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7920151626796769,50.0
h2_0.1,h2_sweep,11,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.617515558322373,72.0
h2_0.1,h2_sweep,11,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.389228319083683,50.0
h2_0.1,h2_sweep,12,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8703680335820245,73.5
h2_0.1,h2_sweep,12,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.8256896574402274,49.4
h2_0.1,h2_sweep,12,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.6240638138014268,73.5
h2_0.1,h2_sweep,12,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.4448343946031465,49.4
h2_0.1,h2_sweep,12,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8624723524211199,73.5
h2_0.1,h2_sweep,12,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.8046463861995254,49.4
h2_0.1,h2_sweep,12,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.6163731881931076,73.5
h2_0.1,h2_sweep,12,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.4461543231608604,49.4
h2_0.1,h2_sweep,12,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8652525582565643,70.9
h2_0.1,h2_sweep,12,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.8076908414049462,49.3
h2_0.1,h2_sweep,12,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6368829778933786,70.9
h2_0.1,h2_sweep,12,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.5049094235832532,49.3
h2_0.1,h2_sweep,12,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8607493524522872,70.9
h2_0.1,h2_sweep,12,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.802942983129688,49.3
h2_0.1,h2_sweep,12,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6230552028559272,70.9
h2_0.1,h2_sweep,12,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.5246982645184805,49.3
h2_0.1,h2_sweep,13,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8680858141512323,73.1
h2_0.1,h2_sweep,13,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7928154122782319,49.1
h2_0.1,h2_sweep,13,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.6437632748671408,73.1
h2_0.1,h2_sweep,13,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.5502475346858431,49.1
h2_0.1,h2_sweep,13,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8585319570733133,73.1
h2_0.1,h2_sweep,13,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7996820884233137,49.1
h2_0.1,h2_sweep,13,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.5969483751321147,73.1
h2_0.1,h2_sweep,13,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.536463306987752,49.1
h2_0.1,h2_sweep,13,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8657247115312129,70.2
h2_0.1,h2_sweep,13,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7664308175612489,49.1
h2_0.1,h2_sweep,13,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6577796193941611,70.2
h2_0.1,h2_sweep,13,EUR,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.5196077440695593,49.1
h2_0.1,h2_sweep,13,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.8598320246953769,70.2
h2_0.1,h2_sweep,13,EAS,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.7633707370667102,49.1
h2_0.1,h2_sweep,13,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx,fixed,0.01,0.6239208836162585,70.2
h2_0.1,h2_sweep,13,EAS,1,5000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,fixed,0.01,0.4969981703123617,49.1
h2_0.1,h2_sweep,14,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx,auto,auto,0.8635642955870132,74.3
h2_0.1,h2_sweep,14,EUR,0,20000,0.6,1.0,2,2,0.0,0.1,prscsx_mt,auto,auto,0.7794191434692038,50.3
