scenario,group,rg,frac_shared_causal,pop,trait,phi_mode,seed,corr_prscsx,corr_prscsx_mt,delta
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,15,0.5907670355506218,0.549225149697131,-0.041541885853490834
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,16,0.5865871026432805,0.448570772704424,-0.13801632993885649
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,17,0.5670250770819019,0.4069348473546003,-0.16009022972730158
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,18,0.6318063188059662,0.4196159729862904,-0.21219034581967577
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,19,0.5932499249959556,0.43546152170323654,-0.1577884032927191
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,2,0.5766232835665832,0.47285055182212465,-0.10377273174445856
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,20,0.6518673117034823,0.5779209851954134,-0.07394632650806898
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,21,0.6112561239368306,0.448245686463656,-0.16301043747317462
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,22,0.5916640818834864,0.449085111367105,-0.1425789705163814
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,23,0.6369428931504092,0.5025128701101129,-0.13443002304029628
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,24,0.5423405200872481,0.45579521496134556,-0.08654530512590253
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,25,0.5817572102124545,0.472088083648321,-0.10966912656413352
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,26,0.5358456614808699,0.398462695045204,-0.1373829664356659
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,27,0.6330527363859393,0.5514760942146166,-0.08157664217132266
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,28,0.6066141587753355,0.43919566983542824,-0.1674184889399073
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,29,0.6005889520445351,0.4475322655998848,-0.15305668644465031
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,3,0.6235629026984798,0.5614031352178513,-0.06215976748062846
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,30,0.6405619750649638,0.49958550385627526,-0.14097647120868856
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,4,0.592065493479404,0.43469452695915456,-0.1573709665202494
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,5,0.5780507009213192,0.4776879700861582,-0.10036273083516095
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,6,0.5970836318127056,0.4512839156092809,-0.14579971620342475
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,7,0.5724056858426707,0.4755187398957957,-0.09688694594687502
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,8,0.5882915866962388,0.39241610230876967,-0.19587548438746916
h2_0.1,h2_sweep,0.6,1.0,EAS,1,auto,9,0.5780871995406435,0.4182760497226637,-0.15981114981797978
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,1,0.8771342438466596,0.8264329071299434,-0.05070133671671617
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,10,0.8749787642308877,0.8180291829239933,-0.056949581306894426
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,11,0.8543215241199651,0.768367587086948,-0.08595393703301712
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,12,0.8703680335820245,0.8256896574402274,-0.04467837614179715
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,13,0.8680858141512323,0.7928154122782319,-0.07527040187300038
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,14,0.8635642955870132,0.7794191434692038,-0.08414515211780937
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,15,0.8674111628038185,0.7829431699243468,-0.08446799287947171
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,16,0.8682956980324917,0.8028993608419069,-0.0653963371905848
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,17,0.8470947096288394,0.7413913598179972,-0.10570334981084217
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,18,0.8615438259263317,0.7944375236498193,-0.06710630227651238
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,19,0.8618081785274702,0.795372446970123,-0.06643573155734717
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,2,0.8635879951681078,0.7673553346992934,-0.0962326604688144
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,20,0.8892658043134435,0.8134510839098151,-0.07581472040362836
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,21,0.8668949717054552,0.790382010006118,-0.07651296169933719
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,22,0.8706344218846757,0.7923844635259094,-0.07824995835876625
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,23,0.8534220026038852,0.7769714893720293,-0.07645051323185592
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,24,0.8599660146884374,0.7814998491476378,-0.07846616554079955
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,25,0.8655422980025462,0.7944804848207074,-0.0710618131818388
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,26,0.8378028305771218,0.7487756820886,-0.08902714848852178
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,27,0.8634825416568696,0.8005531922297636,-0.06292934942710593
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,28,0.8580607883753865,0.7594532540720856,-0.09860753430330083
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,29,0.8417854930142467,0.7520390951864101,-0.08974639782783655
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,3,0.8581676856469603,0.749430869066742,-0.10873681658021839
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,30,0.8756706622196763,0.8103885675184745,-0.06528209470120172
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,4,0.8522953199299342,0.7486325634836778,-0.10366275644625644
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,5,0.853344309773797,0.744161786324231,-0.10918252344956603
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,6,0.8654223336087066,0.809084228272811,-0.05633810533589556
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,7,0.8767436445021729,0.7659890321583459,-0.110754612343827
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,8,0.8688429384932753,0.7850447011611112,-0.08379823733216407
h2_0.1,h2_sweep,0.6,1.0,EUR,0,auto,9,0.8687340693767976,0.7579356866345796,-0.1107983827422181
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,1,0.6355022507046739,0.45297933126763,-0.1825229194370439
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,10,0.6116842004848051,0.49295082784480293,-0.11873337264000217
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,11,0.578807320127269,0.4670712494206527,-0.11173607070661629
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,12,0.6240638138014268,0.4448343946031465,-0.17922941919828034
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,13,0.6437632748671408,0.5502475346858431,-0.09351574018129771
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,14,0.5428202405049037,0.4447636031178168,-0.09805663738708692
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,15,0.600625467368278,0.4957890858071508,-0.10483638156112723
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,16,0.6909201268277412,0.5173741105958786,-0.1735460162318626
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,17,0.552281674962581,0.34434298116193174,-0.20793869380064922
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,18,0.5850171809048551,0.41301642552980256,-0.17200075537505255
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,19,0.5668742510746817,0.4328594342463786,-0.13401481682830307
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,2,0.5994326119678997,0.5134116919670082,-0.08602092000089145
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,20,0.5924886947772138,0.5604749404176224,-0.03201375435959142
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,21,0.6068625200259574,0.4730612839516916,-0.1338012360742658
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,22,0.5783117825231948,0.4815697989811416,-0.09674198354205321
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,23,0.6743875109796854,0.5169541487818241,-0.1574333621978613
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,24,0.5578817979959992,0.473061051015255,-0.08482074698074427
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,25,0.6257500853755198,0.42230193141005556,-0.20344815396546423
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,26,0.6011841990772444,0.42237628094931995,-0.17880791812792446
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,27,0.6037247881156053,0.5147967338335421,-0.08892805428206318
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,28,0.5993355178267866,0.4180900768386177,-0.18124544098816892
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,29,0.6322517401143127,0.4467508023773804,-0.18550093773693233
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,3,0.6125858755355372,0.5350335428184769,-0.0775523327170603
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,30,0.6364523597283638,0.4926516492173306,-0.14380071051103316
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,4,0.5957204542752731,0.43817293233754717,-0.15754752193772592
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,5,0.5701342401439834,0.4672514754532607,-0.10288276469072272
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,6,0.5502615858861283,0.4328803723172943,-0.11738121356883396
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,7,0.5684329416514723,0.49580814164152837,-0.07262480000994392
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,8,0.5991768443428056,0.46485157073709066,-0.13432527360571495
h2_0.1,h2_sweep,0.6,1.0,EUR,1,auto,9,0.6075028107318307,0.4674439279773236,-0.14005888275450706
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,1,0.8725470529159897,0.8036939988980634,-0.0688530540179263
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,10,0.8473199728481483,0.7374700701372339,-0.10984990271091444
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,11,0.8733308970645498,0.7920151626796769,-0.08131573438487294
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,12,0.8607493524522872,0.802942983129688,-0.057806369322599194
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,13,0.8598320246953769,0.7633707370667102,-0.09646128762866668
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,14,0.8641619742413258,0.798075085273725,-0.06608688896760084
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,15,0.8718818925555484,0.7593986952195692,-0.11248319733597922
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,16,0.8762642083350793,0.7861460584337847,-0.09011814990129463
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,17,0.8501960020356275,0.7373498979907508,-0.11284610404487672
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,18,0.8655285848634833,0.7921474757521019,-0.0733811091113814
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,19,0.8588382815066312,0.7539333973825327,-0.10490488412409849
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,2,0.8561373083886524,0.7617918529730636,-0.09434545541558881
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,20,0.8624872939530026,0.7535896993757818,-0.10889759457722081
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,21,0.86322816645057,0.7777437205956425,-0.08548444585492754
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,22,0.8639557041858609,0.7637884556671188,-0.10016724851874204
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,23,0.8536870754603781,0.7201990217437203,-0.13348805371665784
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,24,0.8722605018467438,0.7686548751847747,-0.10360562666196904
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,25,0.8552758715033683,0.7718159808925344,-0.08345989061083381
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,26,0.8571601364875381,0.755638049503381,-0.1015220869841571
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,27,0.8692692597859347,0.7733467597987853,-0.09592249998714941
h2_0.1,h2_sweep,0.6,1.0,EAS,0,fixed,28,0.8634459847959116,0.7983470120751969,-0.06509897272071474
